GRIDODE,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23
  173259,  63.287E-06,  63.287E-06,  63.175E-06,  63.287E-06,  63.159E-06,  63.287E-06,  61.485E-06,  61.280E-06,  62.006E-06,  62.222E-06,  62.640E-06,  63.136E-06,  62.712E-06,  62.540E-06,  63.182E-06,  63.159E-06,  62.956E-06,  63.287E-06,  63.186E-06,  63.287E-06,  63.176E-06,  63.287E-06,  63.287E-06,  63.287E-06
  174302, 215.972E-06, 215.972E-06, 215.972E-06, 215.972E-06, 215.972E-06, 214.852E-06, 209.516E-06, 197.125E-06, 198.466E-06, 202.867E-06, 206.047E-06, 209.192E-06, 208.565E-06, 207.372E-06, 206.510E-06, 209.868E-06, 211.409E-06, 213.164E-06, 209.838E-06, 213.069E-06, 214.942E-06, 214.778E-06, 215.664E-06, 215.760E-06
  174303, 222.628E-06, 222.628E-06, 222.615E-06, 222.628E-06, 222.605E-06, 223.033E-06, 215.870E-06, 210.793E-06, 214.499E-06, 213.246E-06, 216.581E-06, 220.363E-06, 219.369E-06, 216.620E-06, 220.190E-06, 223.781E-06, 222.605E-06, 221.424E-06, 222.541E-06, 221.804E-06, 221.009E-06, 224.181E-06, 222.976E-06, 222.628E-06
  174304, 214.852E-06, 214.627E-06, 214.852E-06, 214.767E-06, 215.130E-06, 215.328E-06, 214.709E-06, 213.588E-06, 213.437E-06, 211.291E-06, 214.623E-06, 209.912E-06, 210.716E-06, 211.011E-06, 212.734E-06, 211.384E-06, 211.156E-06, 213.262E-06, 211.440E-06, 213.489E-06, 214.880E-06, 214.581E-06, 213.454E-06, 213.855E-06
  174305, 203.052E-06, 202.913E-06, 203.021E-06, 203.052E-06, 203.172E-06, 205.750E-06, 223.807E-06, 245.171E-06, 243.542E-06, 234.882E-06, 214.677E-06, 208.780E-06, 209.858E-06, 206.693E-06, 213.931E-06, 205.376E-06, 211.006E-06, 206.794E-06, 205.873E-06, 201.309E-06, 203.578E-06, 204.920E-06, 203.112E-06, 203.714E-06
  174306, 278.134E-06, 278.049E-06, 278.132E-06, 278.134E-06, 277.930E-06, 277.702E-06, 279.702E-06, 277.511E-06, 281.182E-06, 277.498E-06, 276.105E-06, 279.524E-06, 279.488E-06, 276.791E-06, 284.495E-06, 280.543E-06, 282.013E-06, 282.041E-06, 279.767E-06, 280.737E-06, 279.155E-06, 278.101E-06, 279.066E-06, 278.851E-06
  174307,  79.718E-06,  79.718E-06,  79.718E-06,  79.755E-06,  79.798E-06,  79.657E-06,  80.815E-06,  78.438E-06,  73.376E-06,  77.718E-06,  75.810E-06,  77.729E-06,  77.678E-06,  76.513E-06,  77.577E-06,  78.182E-06,  79.540E-06,  79.700E-06,  76.885E-06,  78.492E-06,  78.694E-06,  79.552E-06,  79.480E-06,  79.718E-06
  174308,  79.718E-06,  79.718E-06,  79.718E-06,  79.755E-06,  79.798E-06,  79.657E-06,  80.815E-06,  78.438E-06,  73.376E-06,  77.718E-06,  75.810E-06,  77.729E-06,  77.678E-06,  76.513E-06,  77.577E-06,  78.182E-06,  79.540E-06,  79.700E-06,  76.885E-06,  78.492E-06,  78.694E-06,  79.552E-06,  79.480E-06,  79.718E-06
  174309, 241.055E-06, 240.984E-06, 240.808E-06, 241.055E-06, 241.567E-06, 240.575E-06, 237.737E-06, 225.763E-06, 229.385E-06, 230.079E-06, 237.959E-06, 238.206E-06, 237.479E-06, 241.850E-06, 236.905E-06, 234.255E-06, 238.149E-06, 241.419E-06, 239.628E-06, 239.345E-06, 241.048E-06, 240.802E-06, 241.449E-06, 241.087E-06
  174310, 123.833E-06, 123.834E-06, 123.658E-06, 123.939E-06, 123.380E-06, 123.332E-06, 125.240E-06, 125.404E-06, 123.787E-06, 120.963E-06, 124.018E-06, 123.310E-06, 121.827E-06, 125.192E-06, 126.159E-06, 125.967E-06, 123.401E-06, 124.572E-06, 124.034E-06, 124.400E-06, 124.244E-06, 124.186E-06, 123.970E-06, 123.874E-06
  174311,  56.583E-06,  56.583E-06,  56.558E-06,  56.578E-06,  57.098E-06,  56.503E-06,  55.355E-06,  56.652E-06,  55.581E-06,  52.804E-06,  54.096E-06,  55.264E-06,  56.283E-06,  56.851E-06,  58.581E-06,  55.904E-06,  56.003E-06,  56.186E-06,  56.626E-06,  56.039E-06,  56.364E-06,  56.861E-06,  56.583E-06,  56.583E-06
  174312, 172.761E-06, 172.761E-06, 172.579E-06, 172.761E-06, 172.345E-06, 171.304E-06, 168.110E-06, 166.100E-06, 166.176E-06, 169.994E-06, 169.655E-06, 172.901E-06, 171.954E-06, 172.130E-06, 170.232E-06, 171.201E-06, 170.492E-06, 171.785E-06, 172.458E-06, 172.622E-06, 172.739E-06, 172.761E-06, 172.570E-06, 172.761E-06
  174313, 341.055E-06, 341.055E-06, 340.965E-06, 340.788E-06, 340.016E-06, 339.171E-06, 334.681E-06, 316.702E-06, 322.367E-06, 328.438E-06, 334.739E-06, 337.994E-06, 338.072E-06, 340.652E-06, 337.139E-06, 338.145E-06, 340.057E-06, 340.694E-06, 341.406E-06, 340.371E-06, 340.140E-06, 340.852E-06, 340.791E-06, 341.055E-06
  174314, 243.347E-06, 243.347E-06, 243.347E-06, 243.347E-06, 243.712E-06, 241.078E-06, 235.852E-06, 228.482E-06, 230.683E-06, 234.048E-06, 237.937E-06, 241.714E-06, 239.515E-06, 238.010E-06, 239.058E-06, 240.322E-06, 240.983E-06, 241.377E-06, 239.670E-06, 240.173E-06, 242.004E-06, 243.517E-06, 243.046E-06, 243.213E-06
  174315, 243.347E-06, 243.347E-06, 243.347E-06, 243.347E-06, 243.712E-06, 241.078E-06, 235.852E-06, 228.482E-06, 230.683E-06, 234.048E-06, 237.937E-06, 241.714E-06, 239.515E-06, 238.010E-06, 239.058E-06, 240.322E-06, 240.983E-06, 241.377E-06, 239.670E-06, 240.173E-06, 242.004E-06, 243.517E-06, 243.046E-06, 243.213E-06
